Date,Dynamic_Portfolio,Nifty_50
2024-01-10,178.74836884798654,154.21549537218718
2024-01-11,179.06504997683635,154.4187981506585
2024-01-12,180.64011450208432,156.18326341085037
2024-01-15,181.89251230695334,157.63062537896394
2024-01-16,181.43854199334874,157.16589350679502
2024-01-17,179.32195446662362,153.88200748118598
2024-01-18,179.4940149655029,153.09947569283486
2024-01-19,182.29080268276337,154.24189742572355
2024-01-23,178.91886954975752,151.50551614830442
2024-01-24,182.07484948189577,153.04026264400653
2024-01-25,183.71550309284092,152.3172922165357
2024-01-29,188.62616068187336,155.0636630836042
2024-01-30,185.690915999931,153.5264087411282
2024-01-31,187.17497017853984,154.9787724703075
2024-02-01,185.9792209424913,154.77725304954205
2024-02-02,188.76589661510087,155.8925761047905
2024-02-05,190.55615485878562,155.30691028819098
2024-02-06,193.08534150116895,156.43186068855482
2024-02-07,196.70926050045293,156.4397046759643
2024-02-08,198.65373457177057,154.92348838142493
2024-02-09,197.0155509323124,155.38395691407823
2024-02-12,193.9255833204822,154.19660292649039
2024-02-13,193.65525310762408,155.10396975425368
2024-02-14,196.455105581495,155.7944914309666
2024-02-15,198.98419708876744,156.29881941719907
2024-02-16,201.2470939882991,157.22580317972714
2024-02-19,200.84216809645326,157.80754003638086
2024-02-20,200.6321351467228,158.34040174590754
2024-02-21,197.78394009124554,157.3281790580308
2024-02-22,201.44041825372165,158.4866370777904
2024-02-23,201.88001906649626,158.45275328137853
2024-02-26,201.23965878646158,157.80611892320897
2024-02-27,202.98392020466287,158.35039133555696
2024-02-28,200.88627920328705,156.5870128089671
2024-02-29,200.0030210327043,156.81278868102905
2024-03-01,203.68274801122323,159.35192780968046
2024-03-04,206.67922625163524,159.82879487373867
2024-03-05,208.3604904629895,159.47712509362668
2024-03-06,209.1627799223536,160.31708657310026
2024-03-07,211.50442538121314,160.45618847415957
2024-03-11,209.5012432562636,159.3084166681532
2024-03-12,207.05254083521666,159.33016527267577
2024-03-13,198.4311995420663,156.91906565431432
2024-03-14,201.85571534632004,157.98159853497205
2024-03-15,198.8926225486048,157.10204094143492
2024-03-18,200.97276449577836,157.33280464208048
2024-03-19,198.8210551308346,155.63326474836862
2024-03-20,198.94613279232954,155.78770631219498
2024-03-21,203.09309349241337,157.02071704354995
2024-03-22,204.9305531415668,157.62563755038022
2024-03-26,206.1555895461038,156.96899967007917
2024-03-27,206.23586776324157,157.81752962603025
2024-03-28,208.70903074741355,159.26739944091773
2024-04-01,209.3857511543425,160.23112315868354
2024-04-02,210.60857508756965,160.16906788351147
2024-04-03,209.91816091697353,160.03602661215575
2024-04-04,210.42281090447952,160.60670107804012
2024-04-05,209.68305815074353,160.5999159592685
2024-04-08,210.52148403504847,161.68848864892854
2024-04-09,210.2416583736066,161.520490780041
2024-04-10,213.7460368163321,162.31266384598956
2024-04-12,211.49159831297587,160.64058487445197
2024-04-15,209.95089971869692,158.87933801761994
2024-04-16,209.38602753782317,157.99051532350143
2024-04-18,208.7491324815503,156.90587159378714
2024-04-19,209.34736366447206,157.9840924492638
2024-04-22,212.07998016822287,159.33516703374147
2024-04-23,211.41791752831392,159.56058066126937
2024-04-24,211.72085321281298,159.80597346809606
2024-04-25,214.25387713461467,161.00402760191926
2024-04-26,215.5375265088857,159.93115681956021
2024-04-29,215.78426768057884,161.52513029657274
2024-04-30,216.73201961013825,161.25013096533186
2024-05-02,219.92033515590026,161.55936240503655
2024-05-03,219.13633765300133,160.32991838909334
2024-05-06,217.62304866735747,160.09344237079608
2024-05-07,214.29769541288857,159.09334094232653
2024-05-08,216.70621251782052,159.09334094232653
2024-05-09,213.66993312993307,156.63230730820018
2024-05-10,216.835278205504,157.32923792666864
2024-05-13,214.7797843907115,157.67771716838496
2024-05-14,216.3684563942454,158.48949323661625
2024-05-15,218.10028246538204,158.366093242858
2024-05-16,219.63232408546082,159.8163113697974
2024-05-17,219.99735050256822,160.2603674385637
2024-05-21,221.5976092410273,160.7094252683957
2024-05-22,221.42110137282023,161.19984863751506
2024-05-23,223.87406269456562,163.8381452411103
2024-05-24,222.51214039020869,163.762881972929
2024-05-27,221.64325080616882,163.58704011663195
2024-05-28,219.23152317811068,163.27103749063775
2024-05-29,219.13485018536332,161.9624012465674
2024-05-30,217.42565489880946,160.42123187662767
2024-05-31,218.22439789948626,160.72118428326888
2024-06-03,225.07170205938914,165.95142412258838
2024-06-04,208.05662115599236,156.11156685808072
2024-06-05,219.14096432667986,161.36069914309695
2024-06-06,220.39351929930942,162.79488098316546
2024-06-07,224.81521890995313,166.1386766817067
2024-06-10,225.74634099647497,165.91788863822842
2024-06-11,226.64668148538362,165.95819530887792
2024-06-12,227.43934540939637,166.37264485323
2024-06-13,228.16075082997,166.91443728376825
2024-06-14,230.09783573584042,167.3902315467065
2024-06-18,231.23254042815486,168.0486527847134
2024-06-19,229.63170745581027,167.74975924671003
2024-06-20,229.20084857669423,168.1135642187113
2024-06-21,228.96487368099588,167.64346834094263
2024-06-24,230.20310630113082,167.90562192370825
2024-06-25,229.19278069825987,169.2142581677786
2024-06-26,229.36270995093682,170.2664392142529
2024-06-27,230.23179209693637,171.51977743695858
2024-06-28,231.92773871412254,171.27795134554367
2024-07-01,233.1772907857008,172.21492469772116
2024-07-02,231.71973550128382,172.08581238631123
2024-07-03,232.82291405171526,173.2460676962588
2024-07-04,234.15301830260535,173.35770867514384
2024-07-05,235.94194333982867,173.51249855102213
2024-07-08,235.50657156404156,173.48896658879366
2024-07-09,237.31943534944142,174.2925364250814
2024-07-10,235.35621628370993,173.51677582301983
2024-07-11,235.960048627036,173.45614166101961
2024-07-12,236.78780951077437,174.78439483985474
2024-07-15,239.6702754151578,175.38751805649704
2024-07-16,238.27100165528736,175.57513286014935
2024-07-18,237.23558169102287,176.91514505385769
2024-07-19,231.70762658870277,174.98948097603196
2024-07-22,234.42403380345914,174.8350394122056
2024-07-23,232.47274809170372,174.61961537432705
2024-07-24,233.46677384247752,174.15201341085023
2024-07-25,234.7439622734912,174.0992232362595
2024-07-26,241.9736693917098,177.15768170185854
2024-07-29,243.53535350898372,177.16659849038797
2024-07-30,244.7999142076422,177.31783558333657
2024-07-31,246.26851171697015,177.9873052796308
2024-08-01,246.58281897808362,178.41352777133815
2024-08-02,245.033308751232,176.3219974943827
2024-08-05,236.97296781448847,171.59895573260363
2024-08-06,234.17095355307285,171.14920127866776
2024-08-07,241.22224605870366,173.3245354353179
2024-08-08,240.80232706483415,172.0369511716663
2024-08-09,246.8127058714226,173.82387559296671
2024-08-12,246.08368232779037,173.67764026108387
2024-08-13,243.31889863784068,172.1938866497845
2024-08-14,244.21559816655096,172.22777044619636
2024-08-16,249.57945618086933,175.06259864197338
2024-08-19,249.20323585032676,175.28730171291534
2024-08-20,250.58605876421754,176.1875351098551
2024-08-21,250.5119636951355,176.6965026126193
2024-08-22,251.58369284657397,176.99111887862495
2024-08-23,255.55333507183363,177.07422613421576
2024-08-26,256.37082874729833,178.41138216909823
2024-08-27,255.67734855895375,178.46238898598307
2024-08-28,258.03931075332065,178.7092029059816
2024-08-29,258.04284224103566,179.41968982951127
2024-08-30,259.60662566159806,180.0185497066379
2024-09-02,258.12758759157185,180.3238521863968
2024-09-03,258.0499453728575,180.3320584183403
2024-09-04,257.10978217675495,179.75317772051244
2024-09-05,256.7074097370095,179.37082861486635
2024-09-06,255.04083172157812,177.28109562809885
2024-09-09,255.90101447471977,177.88208717498333
